"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"01001099999","2019-01-01","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  24.0","24","  15.5","24","1025.1","24","023.9","24"," 21.2"," 6","  8.9","24"," 18.5"," 31.5","  30.2","*","  17.4"," "," 0.00","G","999.9","001000"
"01001499999","2019-01-01","59.791925","5.34085","48.76","SORSTOKKEN, NO","  39.7"," 8","  30.4"," 8","9999.9"," 0","999.9"," 0","  6.2"," 8"," 28.3"," 8"," 35.0"," 52.1","  41.0","*","  35.6","*","99.99"," ","999.9","010000"
"01002099999","2019-01-01","80.05","16.25","8.0","VERLEGENHUKEN, NO","  -0.1","23","  -4.0","23","1010.3","23","009.4","23","999.9"," 0"," 17.7","23"," 21.4","999.9","   2.5","*","  -3.5"," "," 0.00","I","999.9","000000"
"01003099999","2019-01-01","77.0","15.5","12.0","HORNSUND, NO","   3.9","23","  -7.6","23","1009.2","23","007.7","23"," 31.1"," 8","  5.9","23"," 11.7"," 17.1","   7.3"," ","   1.4","*"," 0.00","G","999.9","000000"
"01006099999","2019-01-01","78.25","22.8166666","14.0","EDGEOYA, NO","   5.2","24","   0.3","24","1007.4","24","005.7","24","999.9"," 0"," 19.9","24"," 23.3"," 25.4","   7.9"," ","  -3.3"," "," 0.00","I","999.9","000000"
"01007099999","2019-01-01","78.9166666","11.9333333","7.7","NY ALESUND, SV","   3.6","24","  -4.6","24","1011.6","24","010.6","24","999.9"," 0","  7.4","23"," 13.6"," 14.8","   6.6","*","   1.4","*"," 0.07","G","  7.1","000000"
"01008099999","2019-01-01","78.246111","15.465556","26.82","LONGYEAR, SV","   4.4","24","  -6.1","24","9999.9"," 0","999.9"," 0","  7.5","24"," 10.0","24"," 17.5","999.9","   7.9","*","  -0.8"," "," 0.01","G","  4.3","000000"
"01009099999","2019-01-01","80.65","25.0","5.0","KARL XII OYA, SV","  -2.3","23","  -6.1","23","1005.8","23","005.1","23","999.9"," 0"," 23.2","23"," 27.2","999.9","   2.1"," ","  -4.9","*"," 0.00","I","999.9","000000"
"01010099999","2019-01-01","69.2925","16.144167","13.1","ANDOYA, NO","  31.8","24","  23.1","24","9999.9"," 0","999.9"," 0","  5.8","24"," 24.3","24"," 36.9"," 45.1","  35.6","*","  25.3","*"," 0.01","G","999.9","011000"
"01011099999","2019-01-01","80.0666666","31.5","10.0","KVITOYA, SV","  -0.6","24","  -5.5","24","1001.9","24","000.8","24","999.9"," 0"," 25.9","24"," 31.1","999.9","   3.7"," ","  -3.1","*"," 0.00","I","999.9","000000"
